Date,Company,Product,Units
2/2/2015 8:30:00 AM,Hooli,Software,3
2/2/2015 9:00:00 PM,Mediacore,Hardware,9
2/3/2015 2:00:00 PM,Initech,Software,13
2/4/2015 3:30:00 PM,Streeplex,Software,13
2/4/2015 10:00:00 PM,Acme Coporation,Hardware,14
2/5/2015 2:00:00 AM,Acme Coporation,Software,19
2/5/2015 10:00:00 PM,Hooli,Service,10
2/7/2015 11:00:00 PM,Acme Coporation,Hardware,1
2/9/2015 9:00:00 AM,Streeplex,Service,19
2/9/2015 1:00:00 PM,Mediacore,Software,7
2/11/2015 8:00:00 PM,Initech,Software,7
2/11/2015 11:00:00 PM,Hooli,Software,4
2/16/2015 12:00:00 PM,Hooli,Software,10
2/19/2015 11:00:00 AM,Mediacore,Hardware,16
2/19/2015 4:00:00 PM,Mediacore,Service,10
2/21/2015 5:00:00 AM,Mediacore,Software,3
2/21/2015 8:30:00 PM,Hooli,Hardware,3
2/25/2015 12:30:00 AM,Initech,Service,10
2/26/2015 9:00:00 AM,Streeplex,Service,4
